file_id,transcripcion,emocion_target,valencia,activacion,target_stress,path_video,path_audio,duration,session,escenario,split
MSP-IMPROV-S01A-M06-T-MF01,How can I not??,A,2.518519,2.148148,0,./data/RAW/MSP-Improv/Video/session6/S01A/T/MSP-IMPROV-S01A-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S01A/T/MSP-IMPROV-S01A-M06-T-MF01.wav,1.55155,session6,T,dev
MSP-IMPROV-S06H-F04-T-FM01,It's all been scheduled since Wednesday.,H,4.521739,2.913043,0,./data/RAW/MSP-Improv/Video/session4/S06H/T/MSP-IMPROV-S06H-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S06H/T/MSP-IMPROV-S06H-F04-T-FM01.wav,2.55255,session4,T,dev
MSP-IMPROV-S11A-M04-T-MF01,It is raining outside.,A,2.121212,2.545455,0,./data/RAW/MSP-Improv/Video/session4/S11A/T/MSP-IMPROV-S11A-M04-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session4/S11A/T/MSP-IMPROV-S11A-M04-T-MF01.wav,1.75175,session4,T,dev
MSP-IMPROV-S11H-M05-T-MF01,It is waiting outside.,H,4.333333,2.625,0,./data/RAW/MSP-Improv/Video/session5/S11H/T/MSP-IMPROV-S11H-M05-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session5/S11H/T/MSP-IMPROV-S11H-M05-T-MF01.wav,2.35235,session5,T,train
MSP-IMPROV-S04N-M04-T-MF01,The floor was completely covered.,N,2.826087,3.26087,0,./data/RAW/MSP-Improv/Video/session4/S04N/T/MSP-IMPROV-S04N-M04-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session4/S04N/T/MSP-IMPROV-S04N-M04-T-MF01.wav,1.8184833333333332,session4,T,dev
MSP-IMPROV-S15A-F04-T-FM01,Only I joined the ceremony.,A,2.580645,3.290323,0,./data/RAW/MSP-Improv/Video/session4/S15A/T/MSP-IMPROV-S15A-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S15A/T/MSP-IMPROV-S15A-F04-T-FM01.wav,1.9019,session4,T,dev
MSP-IMPROV-S06A-M04-T-MF01,It has all been scheduled since Wednesday.,A,2.142857,2.607143,0,./data/RAW/MSP-Improv/Video/session4/S06A/T/MSP-IMPROV-S06A-M04-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session4/S06A/T/MSP-IMPROV-S06A-M04-T-MF01.wav,3.1197833333333334,session4,T,dev
MSP-IMPROV-S04H-M01-T-MF01,The floor was completely covered-,H,2.566667,3.133333,0,./data/RAW/MSP-Improv/Video/session1/S04H/T/MSP-IMPROV-S04H-M01-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session1/S04H/T/MSP-IMPROV-S04H-M01-T-MF01.wav,1.1177833333333334,session1,T,train
MSP-IMPROV-S10N-F01-T-FM01,I don't know how she could miss this opportunity.,N,2.65625,3.4375,1,./data/RAW/MSP-Improv/Video/session1/S10N/T/MSP-IMPROV-S10N-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S10N/T/MSP-IMPROV-S10N-F01-T-FM01.wav,1.8852166666666668,session1,T,train
MSP-IMPROV-S10H-M06-T-MF01,I don't know how she could miss this opportunity.,H,3.862069,2.551724,0,./data/RAW/MSP-Improv/Video/session6/S10H/T/MSP-IMPROV-S10H-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S10H/T/MSP-IMPROV-S10H-M06-T-MF01.wav,3.0864166666666666,session6,T,dev
MSP-IMPROV-S03H-F05-T-FM01,Really.,H,4.62069,2.448276,0,./data/RAW/MSP-Improv/Video/session5/S03H/T/MSP-IMPROV-S03H-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S03H/T/MSP-IMPROV-S03H-F05-T-FM01.wav,3.75375,session5,T,train
MSP-IMPROV-S12H-F06-T-FM01,Talk. It's insane.,H,3.529412,2.558824,0,./data/RAW/MSP-Improv/Video/session6/S12H/T/MSP-IMPROV-S12H-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S12H/T/MSP-IMPROV-S12H-F06-T-FM01.wav,3.3867166666666666,session6,T,dev
MSP-IMPROV-S04H-F06-T-FM01,The floor was completely covered.,H,3.548387,2.903226,0,./data/RAW/MSP-Improv/Video/session6/S04H/T/MSP-IMPROV-S04H-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S04H/T/MSP-IMPROV-S04H-F06-T-FM01.wav,3.1197833333333334,session6,T,dev
MSP-IMPROV-S08N-M04-T-MF01,A preliminary study shows rats to be more inquisitive than once thought .,N,3.185185,3.666667,0,./data/RAW/MSP-Improv/Video/session4/S08N/T/MSP-IMPROV-S08N-M04-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session4/S08N/T/MSP-IMPROV-S08N-M04-T-MF01.wav,4.521183333333333,session4,T,dev
MSP-IMPROV-S11N-F05-T-FM01,It is raining outside.,N,3.0,3.740741,0,./data/RAW/MSP-Improv/Video/session5/S11N/T/MSP-IMPROV-S11N-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S11N/T/MSP-IMPROV-S11N-F05-T-FM01.wav,2.0854166666666667,session5,T,train
MSP-IMPROV-S07H-F03-T-FM01,I am going shopping .,H,3.857143,2.821429,0,./data/RAW/MSP-Improv/Video/session3/S07H/T/MSP-IMPROV-S07H-F03-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session3/S07H/T/MSP-IMPROV-S07H-F03-T-FM01.wav,2.85285,session3,T,train
MSP-IMPROV-S11A-F06-T-FM01,It is raining outside.,A,1.692308,3.038462,0,./data/RAW/MSP-Improv/Video/session6/S11A/T/MSP-IMPROV-S11A-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S11A/T/MSP-IMPROV-S11A-F06-T-FM01.wav,2.619283333333333,session6,T,dev
MSP-IMPROV-S06N-M02-T-MF01,It has all been scheduled since Wednesday.,N,3.038462,3.807692,0,./data/RAW/MSP-Improv/Video/session2/S06N/T/MSP-IMPROV-S06N-M02-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session2/S06N/T/MSP-IMPROV-S06N-M02-T-MF01.wav,2.569233333333333,session2,T,train
MSP-IMPROV-S08A-M06-T-MF01,A preliminary study shows rats to be more inquisitive than once thought.,A,2.615385,2.769231,0,./data/RAW/MSP-Improv/Video/session6/S08A/T/MSP-IMPROV-S08A-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S08A/T/MSP-IMPROV-S08A-M06-T-MF01.wav,5.088416666666666,session6,T,dev
MSP-IMPROV-S11S-M06-T-MF01,It is raining outside.,S,2.096774,3.677419,1,./data/RAW/MSP-Improv/Video/session6/S11S/T/MSP-IMPROV-S11S-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S11S/T/MSP-IMPROV-S11S-M06-T-MF01.wav,2.65265,session6,T,dev
MSP-IMPROV-S03N-M06-T-MF01,Ella Jorgensen made the pudding.,N,3.225806,3.322581,0,./data/RAW/MSP-Improv/Video/session6/S03N/T/MSP-IMPROV-S03N-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S03N/T/MSP-IMPROV-S03N-M06-T-MF01.wav,1.9185833333333333,session6,T,dev
MSP-IMPROV-S05A-F03-T-FM02,They were just going to go ahead regardless.,A,1.83871,3.064516,0,./data/RAW/MSP-Improv/Video/session3/S05A/T/MSP-IMPROV-S05A-F03-T-FM02.avi,./data/RAW/MSP-Improv/Audio/session3/S05A/T/MSP-IMPROV-S05A-F03-T-FM02.wav,3.486816666666667,session3,T,train
MSP-IMPROV-S10N-F03-T-FM01,I don't know how she could miss this opportunity.,N,2.36,3.48,1,./data/RAW/MSP-Improv/Video/session3/S10N/T/MSP-IMPROV-S10N-F03-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session3/S10N/T/MSP-IMPROV-S10N-F03-T-FM01.wav,4.287616666666667,session3,T,train
MSP-IMPROV-S09S-M05-T-MF01,That's it. The meeting is finished.,S,2.290323,3.806452,1,./data/RAW/MSP-Improv/Video/session5/S09S/T/MSP-IMPROV-S09S-M05-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session5/S09S/T/MSP-IMPROV-S09S-M05-T-MF01.wav,2.018683333333333,session5,T,train
MSP-IMPROV-S11S-F06-T-FM01,It is raining outside.,S,2.083333,3.875,1,./data/RAW/MSP-Improv/Video/session6/S11S/T/MSP-IMPROV-S11S-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S11S/T/MSP-IMPROV-S11S-F06-T-FM01.wav,3.319983333333333,session6,T,dev
MSP-IMPROV-S14S-M06-T-MF01,Your grandmother is on the phone.,S,1.75,3.4,1,./data/RAW/MSP-Improv/Video/session6/S14S/T/MSP-IMPROV-S14S-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S14S/T/MSP-IMPROV-S14S-M06-T-MF01.wav,3.55355,session6,T,dev
MSP-IMPROV-S12S-F05-T-FM01,Your dog is insane.,S,2.058824,3.735294,1,./data/RAW/MSP-Improv/Video/session5/S12S/T/MSP-IMPROV-S12S-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S12S/T/MSP-IMPROV-S12S-F05-T-FM01.wav,2.55255,session5,T,train
MSP-IMPROV-S06N-M04-T-MF01,It has all been scheduled since Wednesday.,N,3.205882,3.647059,0,./data/RAW/MSP-Improv/Video/session4/S06N/T/MSP-IMPROV-S06N-M04-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session4/S06N/T/MSP-IMPROV-S06N-M04-T-MF01.wav,2.7861166666666666,session4,T,dev
MSP-IMPROV-S08H-F04-T-FM01,A preliminary study shows rats to be more inquisitive than once thought.,H,3.481481,3.185185,0,./data/RAW/MSP-Improv/Video/session4/S08H/T/MSP-IMPROV-S08H-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S08H/T/MSP-IMPROV-S08H-F04-T-FM01.wav,3.25325,session4,T,dev
MSP-IMPROV-S01N-F05-T-FM01,How can I not.,N,2.956522,3.869565,0,./data/RAW/MSP-Improv/Video/session5/S01N/T/MSP-IMPROV-S01N-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S01N/T/MSP-IMPROV-S01N-F05-T-FM01.wav,2.95295,session5,T,train
MSP-IMPROV-S02A-F06-T-FM01,I'm quite sure that we will find some way or another.,A,2.870968,3.193548,0,./data/RAW/MSP-Improv/Video/session6/S02A/T/MSP-IMPROV-S02A-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S02A/T/MSP-IMPROV-S02A-F06-T-FM01.wav,4.55455,session6,T,dev
MSP-IMPROV-S05S-F04-T-FM01,They're just going to go ahead regardless.,S,2.0,3.391304,0,./data/RAW/MSP-Improv/Video/session4/S05S/T/MSP-IMPROV-S05S-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S05S/T/MSP-IMPROV-S05S-F04-T-FM01.wav,4.25425,session4,T,dev
MSP-IMPROV-S06N-F04-T-FM01,It has all been scheduled since Wednesday.,N,3.230769,4.0,0,./data/RAW/MSP-Improv/Video/session4/S06N/T/MSP-IMPROV-S06N-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S06N/T/MSP-IMPROV-S06N-F04-T-FM01.wav,1.8184833333333332,session4,T,dev
MSP-IMPROV-S07H-F06-T-FM01,I am going shopping.,H,4.555556,2.814815,0,./data/RAW/MSP-Improv/Video/session6/S07H/T/MSP-IMPROV-S07H-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S07H/T/MSP-IMPROV-S07H-F06-T-FM01.wav,2.619283333333333,session6,T,dev
MSP-IMPROV-S02N-M03-T-MF01,I'm quite sure that we will find some way or another .,N,2.961538,3.846154,0,./data/RAW/MSP-Improv/Video/session3/S02N/T/MSP-IMPROV-S02N-M03-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session3/S02N/T/MSP-IMPROV-S02N-M03-T-MF01.wav,3.4200833333333334,session3,T,train
MSP-IMPROV-S11N-F02-T-FM01,It's raining outside.,N,2.666667,4.1,1,./data/RAW/MSP-Improv/Video/session2/S11N/T/MSP-IMPROV-S11N-F02-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session2/S11N/T/MSP-IMPROV-S11N-F02-T-FM01.wav,1.9686333333333332,session2,T,train
MSP-IMPROV-S06A-F04-T-FM01,It has all been scheduled since Wednesday.,A,2.741935,3.483871,0,./data/RAW/MSP-Improv/Video/session4/S06A/T/MSP-IMPROV-S06A-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S06A/T/MSP-IMPROV-S06A-F04-T-FM01.wav,2.85285,session4,T,dev
MSP-IMPROV-S05H-F03-T-FM01,They're just going to go ahead regardless.,H,2.653846,3.730769,1,./data/RAW/MSP-Improv/Video/session3/S05H/T/MSP-IMPROV-S05H-F03-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session3/S05H/T/MSP-IMPROV-S05H-F03-T-FM01.wav,3.8872166666666663,session3,T,train
MSP-IMPROV-S14N-F05-T-FM01,Your grandmother is on the phone.,N,2.814815,3.703704,0,./data/RAW/MSP-Improv/Video/session5/S14N/T/MSP-IMPROV-S14N-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S14N/T/MSP-IMPROV-S14N-F05-T-FM01.wav,2.65265,session5,T,train
MSP-IMPROV-S05A-M03-T-MF01,They're just going to go ahead regardless.,A,2.424242,3.666667,1,./data/RAW/MSP-Improv/Video/session3/S05A/T/MSP-IMPROV-S05A-M03-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session3/S05A/T/MSP-IMPROV-S05A-M03-T-MF01.wav,2.35235,session3,T,train
MSP-IMPROV-S10S-F01-T-FM01,I don't know how she could miss this opportunity.,S,2.0,3.64,1,./data/RAW/MSP-Improv/Video/session1/S10S/T/MSP-IMPROV-S10S-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S10S/T/MSP-IMPROV-S10S-F01-T-FM01.wav,3.4200833333333334,session1,T,train
MSP-IMPROV-S12N-F02-T-FM01,Your dog is insane.,N,2.5,3.583333,1,./data/RAW/MSP-Improv/Video/session2/S12N/T/MSP-IMPROV-S12N-F02-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session2/S12N/T/MSP-IMPROV-S12N-F02-T-FM01.wav,3.169833333333333,session2,T,train
MSP-IMPROV-S03A-F01-T-FM01,Ella Jorgensen made the pudding.,A,2.285714,2.857143,0,./data/RAW/MSP-Improv/Video/session1/S03A/T/MSP-IMPROV-S03A-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S03A/T/MSP-IMPROV-S03A-F01-T-FM01.wav,2.419083333333333,session1,T,train
MSP-IMPROV-S05H-M02-T-MF01,They're just going to go ahead regardless.,H,3.137931,3.793103,0,./data/RAW/MSP-Improv/Video/session2/S05H/T/MSP-IMPROV-S05H-M02-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session2/S05H/T/MSP-IMPROV-S05H-M02-T-MF01.wav,2.886216666666667,session2,T,train
MSP-IMPROV-S07N-F01-T-FM01,I am going shopping.,N,3.129032,4.032258,0,./data/RAW/MSP-Improv/Video/session1/S07N/T/MSP-IMPROV-S07N-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S07N/T/MSP-IMPROV-S07N-F01-T-FM01.wav,1.5181833333333334,session1,T,train
MSP-IMPROV-S09H-M06-T-MF01,That's it. The meeting's finished.,H,4.25,3.28125,0,./data/RAW/MSP-Improv/Video/session6/S09H/T/MSP-IMPROV-S09H-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S09H/T/MSP-IMPROV-S09H-M06-T-MF01.wav,4.7547500000000005,session6,T,dev
MSP-IMPROV-S07N-F04-T-FM01,I'm going shopping.,N,3.3,3.3,0,./data/RAW/MSP-Improv/Video/session4/S07N/T/MSP-IMPROV-S07N-F04-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session4/S07N/T/MSP-IMPROV-S07N-F04-T-FM01.wav,1.35135,session4,T,dev
MSP-IMPROV-S06A-M05-T-MF01,It has all been scheduled since Wednesday.,A,2.571429,2.75,0,./data/RAW/MSP-Improv/Video/session5/S06A/T/MSP-IMPROV-S06A-M05-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session5/S06A/T/MSP-IMPROV-S06A-M05-T-MF01.wav,2.9863166666666667,session5,T,train
MSP-IMPROV-S12S-M06-T-MF01,Your talk is insane.,S,2.366667,3.266667,0,./data/RAW/MSP-Improv/Video/session6/S12S/T/MSP-IMPROV-S12S-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S12S/T/MSP-IMPROV-S12S-M06-T-MF01.wav,3.219883333333333,session6,T,dev
MSP-IMPROV-S01S-M02-T-MF01,How can I not .,S,2.074074,2.814815,0,./data/RAW/MSP-Improv/Video/session2/S01S/T/MSP-IMPROV-S01S-M02-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session2/S01S/T/MSP-IMPROV-S01S-M02-T-MF01.wav,2.1855166666666666,session2,T,train
MSP-IMPROV-S05N-M03-T-MF01,They're just going to go ahead regardless.,N,2.71875,3.84375,0,./data/RAW/MSP-Improv/Video/session3/S05N/T/MSP-IMPROV-S05N-M03-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session3/S05N/T/MSP-IMPROV-S05N-M03-T-MF01.wav,3.019683333333333,session3,T,train
MSP-IMPROV-S01S-M03-T-MF01,How could I not?,S,2.733333,3.866667,0,./data/RAW/MSP-Improv/Video/session3/S01S/T/MSP-IMPROV-S01S-M03-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session3/S01S/T/MSP-IMPROV-S01S-M03-T-MF01.wav,1.785116666666667,session3,T,train
MSP-IMPROV-S04N-F06-T-FM01,The floor was completely covered.,N,3.0,3.730769,0,./data/RAW/MSP-Improv/Video/session6/S04N/T/MSP-IMPROV-S04N-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S04N/T/MSP-IMPROV-S04N-F06-T-FM01.wav,2.1855166666666666,session6,T,dev
MSP-IMPROV-S10N-F02-T-FM01,I don't know how she could miss this opportunity.,N,2.702703,3.675676,0,./data/RAW/MSP-Improv/Video/session2/S10N/T/MSP-IMPROV-S10N-F02-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session2/S10N/T/MSP-IMPROV-S10N-F02-T-FM01.wav,3.003,session2,T,train
MSP-IMPROV-S08A-F02-T-FM01,A preliminary study shows rats to be more inquisitive than once thought.,A,2.742857,3.457143,0,./data/RAW/MSP-Improv/Video/session2/S08A/T/MSP-IMPROV-S08A-F02-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session2/S08A/T/MSP-IMPROV-S08A-F02-T-FM01.wav,4.9049000000000005,session2,T,train
MSP-IMPROV-S08S-M03-T-MF01,A preliminary study shows that to be more inquisitive than once thought.,S,2.75,3.90625,0,./data/RAW/MSP-Improv/Video/session3/S08S/T/MSP-IMPROV-S08S-M03-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session3/S08S/T/MSP-IMPROV-S08S-M03-T-MF01.wav,4.771433333333333,session3,T,train
MSP-IMPROV-S03A-F03-T-FM02,Ella Jorgensen made the pudding.,A,3.4375,3.4375,0,./data/RAW/MSP-Improv/Video/session3/S03A/T/MSP-IMPROV-S03A-F03-T-FM02.avi,./data/RAW/MSP-Improv/Audio/session3/S03A/T/MSP-IMPROV-S03A-F03-T-FM02.wav,3.55355,session3,T,train
MSP-IMPROV-S09H-F01-T-FM01,That's it. The meeting is finished.,H,4.142857,2.607143,0,./data/RAW/MSP-Improv/Video/session1/S09H/T/MSP-IMPROV-S09H-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S09H/T/MSP-IMPROV-S09H-F01-T-FM01.wav,2.0854166666666667,session1,T,train
MSP-IMPROV-S09N-F01-T-FM01,That's it. The meeting is finished.,N,3.16,3.48,0,./data/RAW/MSP-Improv/Video/session1/S09N/T/MSP-IMPROV-S09N-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S09N/T/MSP-IMPROV-S09N-F01-T-FM01.wav,2.419083333333333,session1,T,train
MSP-IMPROV-S03S-M02-T-MF01,Ellen Jorgensen made the pudding .,S,2.806452,3.709677,0,./data/RAW/MSP-Improv/Video/session2/S03S/T/MSP-IMPROV-S03S-M02-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session2/S03S/T/MSP-IMPROV-S03S-M02-T-MF01.wav,3.3533500000000003,session2,T,train
MSP-IMPROV-S09S-M04-T-MF01,That's it. The meeting is finished. .,S,2.0,3.037037,0,./data/RAW/MSP-Improv/Video/session4/S09S/T/MSP-IMPROV-S09S-M04-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session4/S09S/T/MSP-IMPROV-S09S-M04-T-MF01.wav,2.919583333333333,session4,T,dev
MSP-IMPROV-S11N-M06-T-MF01,It is raining outside.,N,2.15,3.6,1,./data/RAW/MSP-Improv/Video/session6/S11N/T/MSP-IMPROV-S11N-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S11N/T/MSP-IMPROV-S11N-M06-T-MF01.wav,3.25325,session6,T,dev
MSP-IMPROV-S11H-F05-T-FM01,It is raining outside.,H,3.8,2.3,0,./data/RAW/MSP-Improv/Video/session5/S11H/T/MSP-IMPROV-S11H-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S11H/T/MSP-IMPROV-S11H-F05-T-FM01.wav,3.3533500000000003,session5,T,train
MSP-IMPROV-S08H-M02-T-MF01,A preliminary study shows rats to be more inquisitive than once thought .,H,3.714286,3.52381,0,./data/RAW/MSP-Improv/Video/session2/S08H/T/MSP-IMPROV-S08H-M02-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session2/S08H/T/MSP-IMPROV-S08H-M02-T-MF01.wav,4.5045,session2,T,train
MSP-IMPROV-S01S-M06-T-MF01,How can I not.,S,2.62069,3.137931,0,./data/RAW/MSP-Improv/Video/session6/S01S/T/MSP-IMPROV-S01S-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S01S/T/MSP-IMPROV-S01S-M06-T-MF01.wav,2.15215,session6,T,dev
MSP-IMPROV-S01S-F05-T-FM01,How can I not.,S,2.0,3.304348,0,./data/RAW/MSP-Improv/Video/session5/S01S/T/MSP-IMPROV-S01S-F05-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session5/S01S/T/MSP-IMPROV-S01S-F05-T-FM01.wav,2.886216666666667,session5,T,train
MSP-IMPROV-S08N-F06-T-FM01,A preliminary study shows rats to be more inquisitive than one spot.,N,3.176471,3.470588,0,./data/RAW/MSP-Improv/Video/session6/S08N/T/MSP-IMPROV-S08N-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S08N/T/MSP-IMPROV-S08N-F06-T-FM01.wav,4.187516666666666,session6,T,dev
MSP-IMPROV-S01S-F06-T-FM01,How can I not.,S,1.909091,3.181818,0,./data/RAW/MSP-Improv/Video/session6/S01S/T/MSP-IMPROV-S01S-F06-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session6/S01S/T/MSP-IMPROV-S01S-F06-T-FM01.wav,2.4858166666666666,session6,T,dev
MSP-IMPROV-S07S-F01-T-FM01,I am going shopping.-,S,2.083333,3.277778,0,./data/RAW/MSP-Improv/Video/session1/S07S/T/MSP-IMPROV-S07S-F01-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session1/S07S/T/MSP-IMPROV-S07S-F01-T-FM01.wav,2.6860166666666667,session1,T,train
MSP-IMPROV-S10S-M06-T-MF01,I don't know how she could miss this opportunity.,S,2.0,2.647059,0,./data/RAW/MSP-Improv/Video/session6/S10S/T/MSP-IMPROV-S10S-M06-T-MF01.avi,./data/RAW/MSP-Improv/Audio/session6/S10S/T/MSP-IMPROV-S10S-M06-T-MF01.wav,4.287616666666667,session6,T,dev
MSP-IMPROV-S06S-F02-T-FM01,It has all been scheduled since Wednesday.,S,2.076923,3.769231,1,./data/RAW/MSP-Improv/Video/session2/S06S/T/MSP-IMPROV-S06S-F02-T-FM01.avi,./data/RAW/MSP-Improv/Audio/session2/S06S/T/MSP-IMPROV-S06S-F02-T-FM01.wav,3.036366666666667,session2,T,train
